Dénomination du lieu;Catégorie;Province;Adresse ;Code postal;Ville;Site Web;Organisateur/exploitant;Géolocalisation
Smala Cinéma;ciné-club;Bruxelles-Capitale;Place Maurice Van Meenen 2;1060;Saint-Gilles;https://www.smalacinema.be/;Cinedit;50.82518137080059, 4.344789284790251
Cinémusée;ciné-club;Liège;Féronstrée 136;4000;Liège;https://lesmuseesdeliege.be/cinemusee/;Grand Curtius et CFA;50.64741645621652, 5.583286555950205
Cinéma For&ver;cinéma;Hainaut;Rue de la Marlière 27-31;7700;Mouscron;https://www.cinemaforever.be/;Ciné For&ver;50.74255266922006, 3.2042190931153987
Ciné-Dour Centre culturel de Dour;centre culturel;Hainaut;Rue du marché 1;7370;Dour;https://centrecultureldour.be/;Centre culturel de Dour;50.39607841583858, 3.780663358462597
Cinéclub du CCRT;ciné-club;Luxembourg;Rue Camille Joset 1;6730;Rossignol;https://www.ccrt.be/;Association Qualité-Village-Gérouville;49.71683049148129, 5.485968713119155
Les ciné-débats Maison de la Laïcité de l’Entité Courcelloise;ciné-club;Hainaut;Rue Emile Vandervelde 5;6182;Courcelles;https://cal-charleroi.be/cine-debats/;Centre d'Action Laïque Charleroi;50.44760234648627, 4.353576828955902
Ciné Centre;cinéma;Brabant wallon;Avenue de Mérode 91;1330;Rixensart;http://lightsinthecity.be/rixensart/;Lights in the city;50.71188841021889, 4.521074198146986
Centre Culturel d'Enghien;centre culturel;Hainaut;Rue Montgomery 7;7850;Enghien;https://www.ccenghien.com/;Centre Culturel d'Enghien;50.69343988637926, 4.038249936679521
Cinépointcom Libramont;cinéma;Luxembourg;Avenue de Houffalize 56;6800;Libramont;https://www.pathe.be/fr/cinemas/cinema-cinepointcom-libramont;Pathé;49.926529349487936, 5.383117926950439
Wellington;cinéma;Brabant wallon;Chaussée de Bruxelles 165;1410;Waterloo;https://www.cineswellington.com/;Cinés Wellington;50.716880874518935, 4.398747184654849
Cinéma Galeries;cinéma;Bruxelles-Capitale;Galerie de la Reine 26;1000;Bruxelles;https://www.galeries.be/;Cinéma Galeries;50.847511012063634, 4.354627960764276
Beursschouwburg;centre culturel;Bruxelles-Capitale;Rue Auguste Orts 20-28;1000;Bruxelles;https://www.beursschouwburg.be;Beursschouwburg;50.84877210196194, 4.348383199054084
Kinepolis Imagibraine;cinéma;Brabant wallon;Boulevard de France;1420;Braine-l'Alleud;https://kinepolis.be/fr/cinemas/kinepolis-imagibraine?main-section=presales;Kinepolis Braine;50.66694938575492, 4.37840374060998
Pathé Charleroi;cinéma;Hainaut;Grand Rue 141;6000;Charleroi;https://www.pathe.be/;Cinépointcom;50.41883539277473, 4.458990893667778
Imagix Tournai;cinéma;Hainaut;Boulevard Delwart 60;7500;Tournai;https://tickets.imagix.be/schedule/coming_soon;Imagix Tournai;50.61510209561951, 3.3872436558150034
Le Foyer;cinéma;Luxembourg;Place Saintt Etienne 6;6723;Habay-la-Vieille;https://www.cinelefoyer.net/;Le Foyer;49.72323093168925, 5.618410426508495
Centre culturel de Libramont-Chevigny;centre culturel;Luxembourg;Avenue d'Houffalize 56d;6800;Libramont;http://www.cclibramont.be/;Centre culturel de Libramont-Chevigny;49.92649714530719, 5.383381382773114
Le Delta Espace Culturel Provincial;centre culturel;Namur;Avenue Fernand Golenvaux 18;5000;Namur;https://www.ledelta.be/;Province de Namur;50.462470589098764, 4.868603459397031
La Sucrerie;centre culturel;Brabant wallon;Chemin de la Sucrerie 2;1300;Wavre;https://lasucreriewavre.be/;RCAWavre;50.71520559050165, 4.602133740475346
Le P’tit Ciné Regards sur les Docs;ciné-club;Bruxelles-Capitale;Rue du Fort 5;1060;Saint-Gilles;http://www.leptitcine.be/;Le P’tit Ciné - Regards sur les Docs;50.829932944554805, 4.343448121039662
Kinepolis Liège;cinéma;Liège;Chaussée de Tongres 200;4000;Liège;https://kinepolis.be/fr/cinemas/kinepolis-liege?main-section=presales;Kinepolis Liège;50.67028792906584, 5.554722303559982
Cinéma Le Parc;cinéma;Liège;Rue Paul Joseph Carpay 22;4020;Liège;https://www.grignoux.be/fr/;Les Grignoux;50.64634713745985, 5.60244409814448
Ciné Gedinne;cinéma;Namur;Rue de la Croisette 11;5575;Gedinne;https://www.cine-gedinne.be/;Ciné Gedinne;49.97887136688567, 4.936825653939261
Cinéma l'Etoile;cinéma;Brabant wallon;Grand'Place 40;1370;Jodoigne;http://lightsinthecity.be/jodoigne/;Lights in the city;50.724913170586184, 4.867958249492002
CinéGrez;ciné-club;Brabant wallon;Place Gustave Baugniet 1b;1390;Grez-Doiceau;https://www.cinegrez.be/;asbl Cinégrez;50.73732019026581, 4.701744126983851
Imagix Mons;cinéma;Hainaut;Boulevard André Delvaux 1;7000;Mons;https://tickets.imagix.be/schedule/coming_soon;Imagix Mons;50.46185379861335, 3.935533336643835
Cinéma Drive-In de Médiacité;ciné-club;Liège;Boulevard Raymond Poincaré 7;4020;Liège;https://www.mediacite.be/fr/loisirs/cinema;Mediacité;50.63211769041308, 5.58011461177384
Ciné-club Espace Florenville;ciné-club;Luxembourg;Rue du Château 3;6820;Florenville;https://www.ccbeaucanton.be/cine-club-1;C.C. du Beau Canton bibliothèque publique de Florenville etCRILux;49.700522067895065, 5.310105713595001
Le Monty;centre culturel;Brabant wallon;Rue de Charleroi 58;1470;Genappe;https://lemonty.be/espace-citoyen/#cineclub;Le Monty;50.60903136134154, 4.450010539678787
Ciné soupe au Théâtre de la Valette;ciné-club;Brabant wallon;Rue Basse 11;1460;Ittre;https://www.ittreculture.be/evenement/tag/cinema-5?date=all;Centre culturel d'Ittre;50.64908543946485, 4.26371489550467
Centre Culturel d'Amay;centre culturel;Liège;Rue Entre-Deux-Tours 3;4540;Amay;http://www.ccamay.be/;Centre Culturel d'Amay;50.54902903496663, 5.317194483852034
Kinoféroce IAD;ciné-club;Brabant wallon;Route de Blocry 5;1348;Louvain-la-Neuve;https://www.iad-arts.be/;Kinoféroce;50.670669265027335, 4.6040172685167775
